Date, Open, High, Low, Close,%Change
06/16/10,1114.02,1118.74,1107.13,1114.61,-0.056
06/15/10,1091.21,1115.59,1091.21,1115.23,2.349
06/14/10,1095,1105.91,1089.03,1089.63,-0.180
06/11/10,1082.65,1092.25,1077.12,1091.6,0.438
06/10/10,1058.77,1087.85,1058.77,1086.84,2.951
06/09/10,1062.75,1077.74,1052.25,1055.69,-0.594
06/08/10,1050.81,1063.15,1042.17,1062,1.098
06/07/10,1065.84,1071.36,1049.86,1050.47,-1.353
06/04/10,1098.43,1098.43,1060.5,1064.88,-3.441
06/03/10,1098.82,1105.67,1091.81,1102.83,0.405
06/02/10,1073.01,1098.56,1072.03,1098.38,2.584
06/01/10,1087.3,1094.77,1069.89,1070.71,-1.717
05/28/10,1102.59,1102.59,1084.78,1089.41,-1.237
05/27/10,1074.27,1103.52,1074.27,1103.06,3.288
05/26/10,1075.51,1090.75,1065.59,1067.95,-0.566
05/25/10,1067.42,1074.75,1040.78,1074.03,0.035
05/24/10,1084.78,1089.95,1072.7,1073.65,-1.291
05/21/10,1067.26,1090.16,1055.9,1087.69,1.502
05/20/10,1107.34,1107.34,1071.58,1071.59,-3.898
05/19/10,1119.57,1124.27,1100.66,1115.05,-0.513
05/18/10,1138.78,1148.66,1117.2,1120.8,-1.420
05/17/10,1136.52,1141.88,1114.96,1136.94,0.111
05/14/10,1157.19,1157.19,1126.14,1135.68,-1.880
05/13/10,1170.04,1173.57,1156.14,1157.44,-1.215
05/12/10,1155.43,1172.87,1155.43,1171.67,1.374
05/11/10,1156.39,1170.48,1147.71,1155.79,-0.340
05/10/10,1122.27,1163.85,1122.27,1159.73,4.397
05/07/10,1127.04,1135.13,1094.15,1110.88,-1.531
05/06/10,1164.38,1167.58,1065.79,1128.15,-3.235
05/05/10,1169.24,1175.95,1158.15,1165.87,-0.659
05/04/10,1197.5,1197.5,1168.12,1173.6,-2.384
05/03/10,1188.58,1205.13,1188.58,1202.26,1.312
04/30/10,1206.77,1207.99,1186.32,1186.69,-1.665
04/29/10,1193.3,1209.36,1193.3,1206.78,1.294
04/28/10,1184.59,1195.05,1181.81,1191.36,0.646
04/27/10,1209.92,1211.38,1181.62,1183.71,-2.338
04/26/10,1217.07,1219.8,1211.07,1212.05,-0.430
04/23/10,1207.87,1217.28,1205.1,1217.28,0.712
04/22/10,1202.52,1210.27,1190.19,1208.67,0.226
04/21/10,1207.16,1210.99,1198.85,1205.94,-0.102
04/20/10,1199.04,1208.58,1199.04,1207.17,0.806
04/19/10,1192.06,1197.87,1183.68,1197.52,0.452
04/16/10,1210.17,1210.17,1186.77,1192.13,-1.613
04/15/10,1210.77,1213.92,1208.5,1211.67,0.084
04/14/10,1198.69,1210.65,1198.69,1210.65,1.115
04/13/10,1195.94,1199.04,1188.82,1197.3,0.069
04/12/10,1194.94,1199.2,1194.71,1196.48,0.177
04/09/10,1187.47,1194.66,1187.15,1194.37,0.668
04/08/10,1181.75,1188.55,1175.12,1186.44,0.337
04/07/10,1188.23,1189.6,1177.25,1182.45,-0.588
04/06/10,1186.01,1191.8,1182.77,1189.44,0.168
04/05/10,1178.71,1187.73,1178.71,1187.44,0.793
04/01/10,1171.23,1181.43,1170.69,1178.1,0.741
03/31/10,1171.75,1174.56,1165.77,1169.43,-0.327
03/30/10,1173.75,1177.83,1168.92,1173.27,0.004
